threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name
0.7,0.9481220751169953,0.45288326300984527,0.26178861788617885,0.3317877382792375,0.8625527860175326,0.4220382353371014,23382,389,908,322,0.5471167369901547,0.7382113821138211,federated_equal_weight_model,bank_1_valid
0.75,0.954561817527299,0.6068181818181818,0.21707317073170732,0.3197604790419162,0.8625527860175326,0.4220382353371014,23598,173,963,267,0.3931818181818182,0.7829268292682927,federated_equal_weight_model,bank_1_valid
0.8,0.9566817327306908,0.8024691358024691,0.15853658536585366,0.26476578411405294,0.8625527860175326,0.4220382353371014,23723,48,1035,195,0.19753086419753085,0.8414634146341463,federated_equal_weight_model,bank_1_valid
0.85,0.9568817247310107,0.9578313253012049,0.12926829268292683,0.22779369627507162,0.8625527860175326,0.4220382353371014,23764,7,1071,159,0.04216867469879518,0.8707317073170732,federated_equal_weight_model,bank_1_valid
0.9,0.9556017759289629,1.0,0.0975609756097561,0.17777777777777778,0.8625527860175326,0.4220382353371014,23771,0,1110,120,0.0,0.9024390243902439,federated_equal_weight_model,bank_1_valid
0.1,0.0532,0.032465142903872105,0.9912609238451935,0.0628711695304458,0.8579536540521092,0.6890824694983948,536,23663,7,794,0.9675348570961279,0.008739076154806492,federated_equal_weight_model,bank_2_valid
0.15,0.32684,0.042057142857142855,0.9188514357053683,0.08043276323698159,0.8579536540521092,0.6890824694983948,7435,16764,65,736,0.9579428571428571,0.08114856429463171,federated_equal_weight_model,bank_2_valid
0.2,0.71048,0.08325780137252363,0.8027465667915106,0.15086813702487095,0.8579536540521092,0.6890824694983948,17119,7080,158,643,0.9167421986274764,0.1972534332084894,federated_equal_weight_model,bank_2_valid
0.25,0.85464,0.1499876451692612,0.7578027465667915,0.25041254125412543,0.8579536540521092,0.6890824694983948,20759,3440,194,607,0.8500123548307388,0.2421972534332085,federated_equal_weight_model,bank_2_valid
0.3,0.91616,0.23796033994334279,0.7340823970037453,0.3594132029339853,0.8579536540521092,0.6890824694983948,22316,1883,213,588,0.7620396600566572,0.26591760299625467,federated_equal_weight_model,bank_2_valid
0.35,0.9552,0.3920108327691266,0.7228464419475655,0.5083406496927129,0.8579536540521092,0.6890824694983948,23301,898,222,579,0.6079891672308734,0.27715355805243447,federated_equal_weight_model,bank_2_valid
